Instruction,EL,Clean,Exception,Undefined,ExecErr,Status
ABS_32_dp_1src,EL0,9,0,0,0,Allowed
ABS_32_dp_1src,EL1,9,0,0,0,Allowed
ABS_32_dp_1src,EL2,9,0,0,0,Allowed
ABS_32_dp_1src,EL3,9,0,0,0,Allowed
ABS_64_dp_1src,EL0,9,0,0,0,Allowed
ABS_64_dp_1src,EL1,9,0,0,0,Allowed
ABS_64_dp_1src,EL2,9,0,0,0,Allowed
ABS_64_dp_1src,EL3,9,0,0,0,Allowed
ADCS_32_addsub_carry,EL0,27,0,0,0,Allowed
ADCS_32_addsub_carry,EL1,27,0,0,0,Allowed
ADCS_32_addsub_carry,EL2,27,0,0,0,Allowed
ADCS_32_addsub_carry,EL3,27,0,0,0,Allowed
ADCS_64_addsub_carry,EL0,27,0,0,0,Allowed
ADCS_64_addsub_carry,EL1,27,0,0,0,Allowed
ADCS_64_addsub_carry,EL2,27,0,0,0,Allowed
ADCS_64_addsub_carry,EL3,27,0,0,0,Allowed
ADC_32_addsub_carry,EL0,27,0,0,0,Allowed
ADC_32_addsub_carry,EL1,27,0,0,0,Allowed
ADC_32_addsub_carry,EL2,27,0,0,0,Allowed
ADC_32_addsub_carry,EL3,27,0,0,0,Allowed
ADC_64_addsub_carry,EL0,27,0,0,0,Allowed
ADC_64_addsub_carry,EL1,27,0,0,0,Allowed
ADC_64_addsub_carry,EL2,27,0,0,0,Allowed
ADC_64_addsub_carry,EL3,27,0,0,0,Allowed
ADDS_32S_addsub_ext,EL0,54,0,1,0,Conditional
ADDS_32S_addsub_ext,EL1,54,0,1,0,Conditional
ADDS_32S_addsub_ext,EL2,54,0,1,0,Conditional
ADDS_32S_addsub_ext,EL3,54,0,1,0,Conditional
ADDS_32S_addsub_imm,EL0,18,0,0,0,Allowed
ADDS_32S_addsub_imm,EL1,18,0,0,0,Allowed
ADDS_32S_addsub_imm,EL2,18,0,0,0,Allowed
ADDS_32S_addsub_imm,EL3,18,0,0,0,Allowed
ADDS_32_addsub_shift,EL0,27,0,0,0,Allowed
ADDS_32_addsub_shift,EL1,27,0,0,0,Allowed
ADDS_32_addsub_shift,EL2,27,0,0,0,Allowed
ADDS_32_addsub_shift,EL3,27,0,0,0,Allowed
ADDS_64S_addsub_ext,EL0,54,0,1,0,Conditional
ADDS_64S_addsub_ext,EL1,54,0,1,0,Conditional
ADDS_64S_addsub_ext,EL2,54,0,1,0,Conditional
ADDS_64S_addsub_ext,EL3,54,0,1,0,Conditional
ADDS_64S_addsub_imm,EL0,18,0,0,0,Allowed
ADDS_64S_addsub_imm,EL1,18,0,0,0,Allowed
ADDS_64S_addsub_imm,EL2,18,0,0,0,Allowed
ADDS_64S_addsub_imm,EL3,18,0,0,0,Allowed
ADDS_64_addsub_shift,EL0,27,0,0,0,Allowed
ADDS_64_addsub_shift,EL1,27,0,0,0,Allowed
ADDS_64_addsub_shift,EL2,27,0,0,0,Allowed
ADDS_64_addsub_shift,EL3,27,0,0,0,Allowed
ADD_32_addsub_ext,EL0,54,0,1,0,Conditional
ADD_32_addsub_ext,EL1,54,0,1,0,Conditional
ADD_32_addsub_ext,EL2,54,0,1,0,Conditional
ADD_32_addsub_ext,EL3,54,0,1,0,Conditional
ADD_32_addsub_imm,EL0,18,0,0,0,Allowed
ADD_32_addsub_imm,EL1,18,0,0,0,Allowed
ADD_32_addsub_imm,EL2,18,0,0,0,Allowed
ADD_32_addsub_imm,EL3,18,0,0,0,Allowed
ADD_32_addsub_shift,EL0,27,0,0,0,Allowed
ADD_32_addsub_shift,EL1,27,0,0,0,Allowed
ADD_32_addsub_shift,EL2,27,0,0,0,Allowed
ADD_32_addsub_shift,EL3,27,0,0,0,Allowed
ADD_64_addsub_ext,EL0,54,0,1,0,Conditional
ADD_64_addsub_ext,EL1,54,0,1,0,Conditional
ADD_64_addsub_ext,EL2,54,0,1,0,Conditional
ADD_64_addsub_ext,EL3,54,0,1,0,Conditional
ADD_64_addsub_imm,EL0,18,0,0,0,Allowed
ADD_64_addsub_imm,EL1,18,0,0,0,Allowed
ADD_64_addsub_imm,EL2,18,0,0,0,Allowed
ADD_64_addsub_imm,EL3,18,0,0,0,Allowed
ADD_64_addsub_shift,EL0,27,0,0,0,Allowed
ADD_64_addsub_shift,EL1,27,0,0,0,Allowed
ADD_64_addsub_shift,EL2,27,0,0,0,Allowed
ADD_64_addsub_shift,EL3,27,0,0,0,Allowed
ADRP_only_pcreladdr,EL0,3,0,0,0,Allowed
ADRP_only_pcreladdr,EL1,3,0,0,0,Allowed
ADRP_only_pcreladdr,EL2,3,0,0,0,Allowed
